9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9987,98.15,2.4,-22.38,11.2136,0,3.5,27.47,3.25879,0,4.5,-31.01,0.252503,0,4.5,-31.01,21.3772,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9996,98.15,2.4,-22.38,12.505,-27.47,3.5,0,0.255732,31.01,4.5,0,2.07506,0,4.5,-31.01,19.9995,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9995,98.15,2.4,-22.38,11.297,-27.47,3.5,0,0.251983,0,4.5,-31.01,4.55257,31.01,4.5,0,19.9993,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9995,98.15,2.4,-22.38,12.0944,-27.47,3.5,0,0.252609,0,4.5,-31.01,2.14811,0,4.5,-31.01,21.595,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9993,22.38,2.4,-98.15,9.26614,0,3.5,27.47,1.60277,31.01,4.5,0,2.2751,0,4.5,-31.01,19.9998,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9936,22.38,2.4,-98.15,10.3571,0,3.5,27.47,3.25879,0,4.5,-31.01,2.02526,0,4.5,-31.01,20.4629,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9993,22.38,2.4,-98.15,11.4196,-27.47,3.5,0,0.318905,31.01,4.5,0,1.44541,0,4.5,-31.01,19.999,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9993,0,2.2,-20.67,12.184,-27.47,3.5,0,0.25539,0,2.05,-31.11,2.78659,0,6,-27.51,21.1157,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9993,0,2.2,-20.67,12.7596,-27.47,3.5,0,0.485703,31.11,2.05,0,2.42351,0,6,-27.51,19.9993,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9965,20.67,2.2,0,10.4799,0,3.5,27.47,3.25879,0,2.05,-31.11,2.48052,27.51,6,0,20.5058,0,0
9.75,8.5,10,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9996,98.15,2.4,-22.38,11.7413,-27.47,3.5,0,0.459437,0,4.5,-31.01,4.90049,27.51,3.5,0,19.9995,0,0
9.75,8.5,10,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,16.9997,0,2.3,-20.67,7.78971,0,3.5,27.47,3.44074,31.01,4.5,0,3.47324,31.01,6,0,19.9992,0,0
